Attorney_ID,Canonical_Name,AKA_1,AKA_2,AKA_3,Variants_Merged,Firms,N_MDLs,N_Mentions,MDLs,Roles,Confidence,Gender,Birth_Year,Undergrad_School,Undergrad_Grad_Year,Law_School_Name,Law_Grad_Year,Bar_States,Sources,Notes
A0001,E. Michelle Drake,Michelle Drake,Michele Drake,Michele Dirke,4,"Berger Montague, PC; Berger Montague; Berger Montague PC",7,24,"03083, 2904, 2933, 3083, 3108, 3128, 3149",ClassCounsel; Communications; Discovery; LeadCounsel; Management; Vetting,merged,,,,,,,,,
A0002,Gordon Ball,Gordan Ball,W. Gordon Ball,,3,"Ball & Scott; Ball & Scott Law Offices; Ball & Scott, PA; LAW OFFICES OF GORDON BALL",7,12,"1682, 1730, 1768, 1785, 1899, 2343, 2508",ClassCounsel; Communications; LeadCounsel; Management; Settlement,merged,,,,,,,,,
A0003,Eric M. Quetglas-Jordan,Eric Quetglas,Eric M. Quetgla-Jordan,,3,Quetglas Law Offices; Quetglas/Archie Lamb/Kirk Wood,4,7,"1785, 1905, 1953, 1960",Management; Motions,merged,,,,,,,,,
A0004,James E. Cecchi,James Cecchi,James E Cecchi,James E. Ceechi,3,"Carella, Byrne, Cecchi, Brody & Agnello, P.C.; Carella, Byrne, Bain, Gilfillan, Cecchi, Stewart & Olstein; CARELLA, BYRNE, CECCHI, OLSTEIN, BRODY & AGNELLO, P.C.; Carella Byrne",20,42,"1914, 1938, 2228, 2415, 2471, 2506, 2514, 2540, 2577, 2904, 2948, 3051, 3055, 3073, 3080, 3089, 3090, 3113, 3114, 3149",ClassCounsel; Communications; LeadCounsel; Management; Settlement,merged,,,,,,,,,
A0005,J. Gerard Stranch IV,"J. Gerard Stranch, IV",James G. Stranch III,J. Gerard Stranch,3,"BRANSTETTER, STRANCH & JENNINGS, PLLC; Stranch, Jennings & Garvey, PLLC; Branstetter, Stranch, & Jennings, PLLC; Branstetter, Stranch & Jennings, PLLC",8,17,"1928, 2242, 2343, 2904, 3032, 3035, 3083, 3127",ClassCounsel; Communications; Coordination; LeadCounsel; Management,merged,,,,,,,,,
A0006,Stephen G. Grygiel,Steve Grygiel,Stephen C. Grygiel,Steven G. Grygiel,3,"Grygiel Law LLC; Grant & Eisenhofer; Silverman, Thompson, Slutkin & White LLC; Keefe Bartels, LLC",3,7,"1938, 2314, 2358",ClassCounsel; Management,merged,,,,,,,,,
A0007,Douglass Kreiss,Douglass A. Kreis,Douglass Kreis,Douglas Kreis,3,"Aylstock, Witkin, Kreiss; Aylstock, Witkin, Kreis & Overholtz",3,4,"2004, 2046, 3140",Expert; LeadCounsel; Management,merged,,,,,,,,,
A0008,Brent Wisner,R. Brent Wisner,Robert Brent Wisner,,3,"BAUM HEDLUND ARISTEI & GOLDMAN, P.C.",2,3,"2924, 3101",LeadCounsel; Management,merged,,,,,,,,,
A0009,José M. Rojas,Jose Rojas,José M. Rosas,,3,"Levin, Rojas, Camassar & Reck, LLC",2,5,"3026, 3081",Coordination; LeadCounsel; Management,merged,,,,,,,,,
A0010,Jenniffer Elwell,Jennifer Elwell,Jenny Elwell,,3,Berger Montague,1,3,3081,Management,merged,,,,,,,,,
A0011,Phillip A. Wittmann,Phil Wittmann,,,2,"Stone Pigman Walther Wittmann, LLC",1,6,1657,Communications; Management,merged,,,,,,,,,
A0012,Thomas V. Girardi,Thomas Girardi,Tom Girardi,,2,Girardi and Keese; GIRARDI & KEESE; Girardi | Keese; Girardi & Keese,6,14,"1657, 1807, 1840, 1967, 2100, 2404",ClassCounsel; Coordination; Fees; LeadCounsel; Management,merged,,,,,,,,,
A0013,Christopher A. Seeger,Christopher Seeger,Chris Seeger,Mr. Christopher A. Seeger,2,"Seeger Weiss LLP; SEEGER WEISS; Seeger Weiss; Seeger Weiss, LLP",22,39,"1657, 1699, 1708, 1742, 1789, 1842, 1909, 1938, 2087, 2299, 2342, 2506, 2904, 2973, 3014, 3047, 3055, 3089, 3113, 3114, 3121, 3140",ClassCounsel; Communications; Fees; LeadCounsel; Management; Settlement,merged,,,,,,,,,
A0014,Edward F. Blizzard,Edward Blizzard,Ed Blizzard,,2,"BLIZZARD, MCCARTHY & NABERS, L.L.P.; Blizzard & Nabers; Blizzard, McCarthy & Nabers; Blizzard, McCarthy & Nabers LLC",4,5,"1657, 1968, 2004, 2342",Fees; Management,merged,,,,,,,,,
