Attorney_ID,Canonical_Name,AKA_1,AKA_2,AKA_3,Variants_Merged,Firms,N_MDLs,N_Mentions,MDLs,Roles,Confidence,Gender,Birth_Year,Undergrad_School,Undergrad_Grad_Year,Law_School_Name,Law_Grad_Year,Bar_States,Sources,Notes
A0001,Douglass Kreis,Doug Kreis,Douglass A. Kreis,Dougless Kreis,5,"Aylstock, Witkin, Kreis & Overholtz, PLLC; Aylstock, Witkin, Kreis & Overholtz; Aylstock, Witkin, Kreis & Overholtz PLLC; Aylstock, Witkin, Kreiss",8,18,"2004, 2046, 2244, 2391, 2441, 2782, 2885, 3140",Expert; LeadCounsel; Management,merged,,,,,,,,,
A0002,D. Mathews,Todd Matthews,D. Todd Mathews,D. Todd Matthews,4,"Gori Julian & Associates, P.C.; Gori Julian & Associates; Gori, Julian & Associates, P.C.",5,7,"2753, 2754, 2767, 2775, 2885",Management; Settlement,merged,,,,,,,,,
A0003,E. Michelle Drake,Michelle Drake,E. Drake,Michele Drake,4,"Berger Montague, PC; Berger Montague; Berger Montague PC; Nichols Kaster PLLP",7,27,"3083, 2522, 2904, 2933, 3108, 3128, 3149",ClassCounsel; Communications; Discovery; LeadCounsel; Management; Settlement; Vetting,merged,,,,,,,,,
A0004,Donald Migliori,Don Migliori,Donald A. Migliori,Donald Miglori,3,"Motley Rice LLC; Motley Rice; Motley Rice, LLC",8,14,"1570, 1842, 2197, 2244, 2472, 2641, 2782, 3148",Communications; LeadCounsel; Management,merged,,,,,,,,,
A0005,J. Gerard Stranch IV,"J. Gerard Stranch, IV",Gerard Stranch,J. Stranch,3,"Branstetter, Stranch & Jennings, PLLC; BRANSTETTER, STRANCH & JENNINGS, PLLC; Stranch, Jennings & Garvey, PLLC; Branstetter, Stranch & Jennings PLLC",13,23,"1928, 2242, 2332, 2343, 2419, 2472, 2672, 2804, 2904, 3032, 3035, 3083, 3127",ClassCounsel; Communications; Coordination; LeadCounsel; Management; SettlementAdministration,merged,,,,,,,,,
A0006,Chris Placitella,Christopher Placitella,Christopher M. Placitella,Christopher M. Placittella,3,"COHEN PLACITELLA & ROTH; Cohen, Placitella & Roth; Cohen Placitella & Roth; COHEN, PLACITELLA, & ROTH, P.C.",6,8,"1763, 1817, 2187, 2197, 2326, 2738",Communications; Coordination; Management,merged,,,,,,,,,
A0007,Joseph Osborne,Joe Osborne,J Osborne,,3,"Babbitt, Johnson, Osborne & LeClainche; BABBITT JOHNSON OSBORNE & LE CLAINCHE; Babbit, Johnson, Osborne and LeClainche; Osborne & Associates Law Firm, PA",8,15,"1928, 2187, 2272, 2326, 2391, 2441, 2641, 2768",Communications; Management,merged,,,,,,,,,
A0008,Gordon Ball,Gordan Ball,W. Gordon Ball,,3,"Ball & Scott; Ball & Scott Law Offices; Ball & Scott, PA; LAW OFFICES OF GORDON BALL",8,13,"1682, 1730, 1768, 1785, 1899, 2343, 2406, 2508",ClassCounsel; Communications; Coordination; LeadCounsel; Management; Settlement,merged,,,,,,,,,
A0009,W. Miles,"W. Daniel Miles, III",W. Daniel Miles,Wilson Miles,3,"Beasley Allen Crow Methvin Portis & Miles; Beasley, Allen, Crow, Methvin, Portis & Miles P.C.; Beasley, Allen, Crow, Methvin, Portis & Miles, P.C.; Beasley Allen Crow Mehtvin Portis & Miles",7,9,"2151, 2406, 2522, 2583, 2672, 2777, 2905",ClassCounsel; Management; Motions; SettlementAdministration,merged,,,,,,,,,
A0010,R. Eric Kennedy,R. Kennedy,Eric Kennedy,Robert E. (Eric) Kennedy,3,"Weisman, Kennedy & Berris Co., L.P.A.; Weisman, Kennedy, Berris; WEISMAN, KENNEDY & BERRIS CO., L.P.A.; Weisman Kennedy & Berris Co, LPA",6,10,"2197, 2441, 2804, 3004, 3044, 3140",Discovery; Fees; LeadCounsel; Management,merged,,,,,,,,,
A0011,James Cecchi,James E. Cecchi,JAMES CECCHI,James E Cecchi,3,"Carella, Byrne, Cecchi, Brody & Agnello; Carella Byrne Cecchi Olstein Brody Agnello, P.C.; Carella Byrne Cecchi Olstein Brody & Agnello, P.C.; Carella, Byrne, Cecchi, Olstein, Brody & Agnello",31,75,"1914, 1938, 2020, 2158, 2228, 2243, 2353, 2415, 2471, 2506, 2514, 2540, 2577, 2591, 2599, 2672, 2687, 2750, 2779, 2804, 2904, 2948, 3051, 3055, 3073, 3080, 3089, 3090, 3113, 3114, 3149",ClassCounsel; Communications; LeadCounsel; Management; Settlement; SettlementAdministration,merged,,,,,,,,,
A0012,M. Graham,Elizabeth Graham,M. Elizabeth Graham,,3,"Grant & Eisenhofer, P.A.; Grant & Eisenhofer P.A.",3,5,"2657, 2768, 2775",LeadCounsel; Management; Settlement,merged,,,,,,,,,
A0013,Phillip A. Wittmann,Phil Wittmann,Phillip Wittman,,3,"Stone Pigman Walther Wittmann, LLC",2,7,"1657, 2179",Communications; Management,merged,,,,,,,,,
A0014,Douglas J. McNamara,Douglas McNamara,Douglass McNamara,Doug McNamara,3,Cohen Milstein Sellers & Toll PLLC; Cohen Milstein Seller & Toll LLC,4,19,"3083, 2827, 2904, 2972",ClassCounsel; Discovery; LeadCounsel; Management,merged,,,,,,,,,
A0015,E. Powell Miller,Powell Miller,,,3,"The Miller Law Firm, P.C.; The Miller Law Firm",4,6,"2744, 2818, 2901, 3040",ClassCounsel; Communications; LeadCounsel; Management,merged,,,,,,,,,
A0016,Eric M. Quetglas-Jordan,Eric Quetglas,Eric M. Quetgla-Jordan,,3,Quetglas Law Offices; Quetglas/Archie Lamb/Kirk Wood,4,7,"1785, 1905, 1953, 1960",Management; Motions,merged,,,,,,,,,
A0017,Stephen G. Grygiel,Steve Grygiel,Stephen C. Grygiel,Steven G. Grygiel,3,"Grygiel Law LLC; Grant & Eisenhofer; Silverman, Thompson, Slutkin & White LLC; Keefe Bartels, LLC",3,7,"1938, 2314, 2358",ClassCounsel; Management,merged,,,,,,,,,
A0018,Brent Wisner,R. Brent Wisner,Robert Brent Wisner,,3,"BAUM HEDLUND ARISTEI & GOLDMAN, P.C.",2,3,"2924, 3101",LeadCounsel; Management,merged,,,,,,,,,
